Saturday March 19	1:30 PM	2/2/2016 15:59:09	Menghsuan	Tsai	National Cheng Kung University		https://www.facebook.com/cocotsaizax								Taiwan	Tainan			Talk of 20 minutes	How to Share Open Source	Internet, Society, Community	As a student, we want to raise the awareness of using open source software online for free. The environment of using the open source software in Taiwan is monopolized by expensive software, such as Microsoft series, Adobe and Photoshop. People seldom get a chance to realize that they actually have easy access to resources online which is free and much more convenient. Moreover, most of the budget of our country is used to buy the copyrights of software packages, but in practice we only use the basic functions of them. Simply put, we waste a lot of money buying something which is unnecessary. We discover it is the language barrier that makes people in Taiwan less likely to use open source software programs. Getting the deeper understanding of the serious problem we faced with, we come up with some solutions. Using big data to analyze vocabularies which are used frequently, we gather the information to indicate language barriers. Moreover, we can list out all the words which is hard for people, so that engineers can use the software and check the vocabularies at the same time. By using methods to remember the vocabularies, engineers can easily use the software. We can even use big data to analyze the steps which are used frequently and visualize them as a report. Like, we make a brief introduction to summarize the basic functions. So people only need to recognize the steps and check it through the introduction when they need. We launch a workshop to teach them step by step in English how to use the open source software. By enhancing engineers’ English ability, now we can create a community to start influencing the general public. We create a community to overcome the language barrier and to change the habits of Taiwanese for using software. We start from NCKU and share with other schools. We create a platform for sharing the information of updated software. By translating the information from the internet like opensource.com, we provide not only the materials for target group, but also chances to the general public to know the advantages of open source software.  On the other hand, we translate the video of “opensoucephysics” to use the materials in our education system. By using the interesting videos and materials, teachers can inspire students to think outside the box and use their imagination to understand some difficult science concepts in classes. Furthermore, we can integrate the education materials with “ezgo” and provide a chance for students to begin self-learning. We use three main methods to promote the use of open source software. First, we are going to launch a program which is composed of different schools such as NCKU, NCTU and NTU to create an engineering social media. Second, we cooperate with the professors and schools to open a course to invite students to join our translating program. Third, we create a social media and launch “hour of translate” and invite friends to join us. Furthermore, we cooperate with the summer and winter camps to share our passion for open source software. To promote our ideas, we submit the application to teach for classes in other level of schools, such as elementary schools, junior schools and high schools.  It is necessary a waste that we seldom make the most of free resources online. We spend a lot of budget buying the software which is replaceable and deal with problems in an ineffective way. That is why we start this project to help others in an efficient way. 	I have a strong passion in dealing problems in an efficient way. No matter how much time it takes, I like to try things to benefit the society.  I am willing to devote myself to spend thousands of hours to help others save an hour for their work. I believe the environment must be changed to make it a better world for us to do things effectively. Apart from the efficiency, I am interested in joining a community because it gives me an opportunity to acquire both determination and selflessness. Working together in the community makes me feel a part of something bigger; it teaches me not to only make decision from my perspective view but to take the whole community into consideration. Although practicing coding takes sweat, I am still willing to devote myself to help others finish the projects. Not until I overcome one failure after another can I learn that the turning points are meant to trigger your potential ability. Every obstacle happened in community is a chance for me to cultivate skills and enhance competitiveness.  As the two main points mentioned above, with the ambition to challenge myself and to venture into the unknown, I would like to grab the chance to join FOSSASIA 2016. To wake myself up under the sleepy eyes of ignoring the cruel facts of the world, it’s necessary to be stimulated by the diversity. To gain more information and get to know more people, it is a great opportunity for me to face challenges and receive suggestions. I know I am still lack for experience and knowledge, so I hope, by joining FOSSASIA 2016, I can get more inspiration and innovation to make my project even better.  And...  One reason why I want to attend this program is because of my ambition for promoting the open source software. I am a sophomore at Cheng Kung University in Tainan the southern city in Taiwan. I am usually buried under a heavy load of homework during the week. So I usually try to take an adventure to try new software programs for making my work more convenient. “Technology happens when imagination meets need.” With the development of the technology, I can use open sources, such as Inkscape, Amara and Gimp online. One of the most terrifying assignment that I have ever had)was assigned by Professor Yung for the course “electrical circuit”. We had to read through papers about the electricity and find out what we can probe from our class materials, like noise filters or common base amplifiers. Moreover, I had to make an English presentation to give my proposal in this class.  So when I finally have some free time on weekends, I can surf the internet to check out the latest information for open source. I easily use Inskape to redesign picture forms Openclipart to make eye-popping slides. Also as a English learner, I use Amara to translate video like Emma Watson’s speech in the EU from youtube. From this, I practice not only my listening skills, but also how to boost my impact of my communication in English. Simply put, I want to deliver the convince which I gain from the open source software. Open source software has changed the way I see my world, and now I want it to change the world that I see and live in. 	One reason why I want to attend this program is because of my ambition for promoting the open source software. I am a sophomore at Cheng Kung University in Tainan the southern city in Taiwan. I am usually buried under a heavy load of homework during the week. So I usually try to take an adventure to try new software programs for making my work more convenient. “Technology happens when imagination meets need.” With the development of the technology, I can use open sources, such as Inkscape, Amara and Gimp online. One of the most terrifying assignment that I have ever had)was assigned by Professor Yung for the course “electrical circuit”. We had to read through papers about the electricity and find out what we can probe from our class materials, like noise filters or common base amplifiers. Moreover, I had to make an English presentation to give my proposal in this class.  So when I finally have some free time on weekends, I can surf the internet to check out the latest information for open source. I easily use Inskape to redesign picture forms Openclipart to make eye-popping slides. Also as a English learner, I use Amara to translate video like Emma Watson’s speech in the EU from youtube. From this, I practice not only my listening skills, but also how to boost my impact of my communication in English. Simply put, I want to deliver the convince which I gain from the open source software. Open source software has changed the way I see my world, and now I want it to change the world that I see and live in. 	
Saturday March 19	2:00 PM	1/18/2016 4:10:01	Sayanee	Basu	We Build SG		http://sayan.ee			github.com/sayanee		https://twitter.com/sayanee_	https://www.linkedin.com/in/sayanee		Singapore	Singapore		https://www.flickr.com/photos/jurvistan/23015512439/in/album-72157661087124089/	Talk of 20 minutes	Curating the open community of developers, designers and makers	Internet, Society, Community	The developer, design and maker community in Singapore is young, but growing rapidly. Through the automatic curation of open events and open data at https://webuild.sg and collecting the data trends at http://data.webuild.sg, we see some exciting works of this community that we can all learn from. What else can be done to support and promote this open community? We would love to share and hear from you!	Sayanee is a web developer with an interest in connecting low powered sensors to the Internet. She created developer tools screencasts at http://build-podcast.com and does some coding for the https://webuild.sg project. In her free time, she loves to attend developer meetups and conferences to share what she is learning.	I would be really grateful if the talk is scheduled on 19 March Saturday.	
Saturday March 19	2:30 PM	1/4/2016 7:54:34	Anivar	Ammanath Aravind	Mozilla India		http://anivar.net			anivar		https://twitter.com/anivar	https://in.linkedin.com/in/anivar		India	Bangalore		https://commons.wikimedia.org/wiki/File%3AAnivar_Aravind_%2815182117864%29.jpg	Talk of 20 minutes	India's fight for Netneutrality and Open Internet	Internet, Society, Community	India's #Netneutrality campaign generated over a million comments following one of the most extensive public campaigns on the Web in recent history. The session discusses how India's Internet users, open web advocates, internet startups and FOSS activists run a campaign for #netneutrality and open Internet  and what it means for asian countries, since this discussion is shaping up the global south discourse around this topic.  	Anivar A. Aravind is a Senior Program/Project Management professional based in Bangalore with 10+ year Industry experience. He is a well known Free Software/Culture Evangelist in South Asia with a 14 year active involvement record. Anivar has a long track record of initiating, sustaining and running various Technical, Policy and Developer platforms and mobilizing people support and participation in such initiatives. Anivar has significant expertise on ICT public policy, Internet Governance, Open standards, Language technology, FOSS Licensing, Accessibility, and coordinating remote and scattered teams. He has substantial experience in mentoring many free and open source software projects and start-ups in social technology space to find their feet, assisting in various capacities from part- time adviser to chief technologist. As a social entrepreneur and activist working in the field of ICT4D for the last 10 years, he has extensive experience working with many small and large organizations at the local, regional, national and international levels. He contributed to the launch and maintenance of many thematic and regional networks and his activism has always focused on bridging the awareness gap between digital rights activism and general public in India.  He is the Executive Director of Indic Project and currently chairing Mozilla India Policy and Advocacy task force.		
Saturday March 19	3:00 PM	1/23/2016 17:37:23	Keith	Bergelt	Open Invention Network		http://www.openinventionnetwork.com/								USA	Reasearch Triangle Park, NC, USA			Talk of 20 minutes	Ensuring Patent Non-Aggression in Linux and OSS Projects	Internet, Society, Community	In an era increasingly marked by project-based innovation, the modality that Open Source has ushered in is creating unprecedented levels of innovation.  As participants in global projects build upon each others ideas and inventions to be able to innovate in an iterative manner, a culture of co-opetition is emerging which allows companies to successfully collaborate and compete at the same time.   As part of this evolution from silo'd invention inside individual companies to collaborative project-based innovation, a parallel culture of patent non-aggression has developed through the creation of the Open Invention Network (OIN) which over the last 10 years has grown into the largest patent non-aggression community in the history of technology.     Keeping pace with the growth and proliferation of Linux and other OSS-based platforms into key markets such as mobile, home, auto and finance, OIN has doubled in size twice over the past 36 months and now is a community of over 2,000 entities and individuals explicitly committed to patent non-aggression in core technologies that enable innovation in these new markets/sectors.   The how and why of OIN's successful expansion and the benefits of participation in this free community will be discussed.	Keith Bergelt is the CEO of Open Invention Network (OIN), the largest patent non-aggression community in history, organized to support freedom of action in Linux and open source software.  OIN has more than 2,000 community members and owns more than 1,100 global patents and applications.  OIN offers a free license to its owned patents and coordinates a broad OSS-centric member cross-license; both are available in one OIN license on a royalty free basis to any party that joins the OIN community.  Prior to joining OIN, Mr. Bergelt served as CEO of two funds formed to unlock the considerable asset value of intellectual property in middle market companies.  Previously, Mr. Bergelt's private sector experience includes service as a senior advisor to the technology investment division at Texas Pacific Group.   He also headed business development, IP and licensing for Cambridge Display Technology.  Additionally, he established and served as General Manager of the Strategic Intellectual Asset Management business unit and director of Technology Strategy at Motorola.     Mr. Bergelt's public sector experience includes service as an American Diplomat in Washington, DC, New York, NY (United Nations), and Tokyo, Japan (American Embassy).	Photo will be provided under separate cover.	
Saturday March 19	3:30 PM	1/13/2016 4:34:04	Anwesha	Das	Fedora Project		http://anweshadas.in								India	Pune, Maharashtra		http://anweshadas.in/content/images/2015/03/479357_510013835681502_1332101143_o.jpg	Talk of 20 minutes	Anatomy of a Software Patent for a foss developer	Internet, Society, Community	Software patent, a pdf file containing large amount of texts, piles of sections, drawings. Software Patents turns out to be very difficult and vague to many of the developers. In this talk we will go through a software patent, and try to identify the key parts and the legal aspect of the same. Intellectual Property and different kinds of the same. When one can acquire different types of intellectual property rights at the same time for the different parts of the same property.  * Face of a patent (the metadata legal department cares a lot about) * Inventor, and inventorship * Can we destroy a patent? (Hint: talk to the owner) * Synopsis of the Patent * Title, abstract, and figures * The thick part (the body of the patent, or as we call it "specification") * The claims (Heart of the patent) * Indentation :) Unless and until a software patent is tested, in a court of law, by running of it, it is impossible to say if something matches with the claim of the patent or not. At the end of the talk we will go through various other resources which one can visit from where one can learn more.	Anwesha Das, an Advocate practicing law for 6 years. She is an active user of FOSS technologies. She contributes to Fedora Project.  One of her major goal is to help the FOSS developers with the legal aspect of the software industry.		
Saturday March 19	4:00 PM	11/29/2015 1:16:58	Kevin	Huang	Open Invention Network		http://www.openinventionnetwork.com						 https://tw.linkedin.com/in/kevin-huang-b2a3096		Taiwan	Taipei			Talk of 20 minutes	How we work together to reduce the patent risk on open source	Internet, Society, Community	Open Invention Network is a consortium who is dedicated to protecting a mode of collaborative invention. Specifically, it tries to safeguard the Linux open-source software ecosystem.  It is time we work together to expand the safeguard.	To reduce patent risk around Linux system		
Saturday March 19	4:30 PM	1/19/2016 12:02:40	Amita	Sharma	Red Hat		https://whatamithinks.wordpress.com/								India	Pune			Talk of 20 minutes	Testing - Best Practices in Open Souce World	Internet, Society, Community	1. How to contribute in improving quality of open source software 2. Get inspiration how to create test harness for your application 3. How to alter your software development model to produce bug-free code. 4. Altering your development model to match SW quality standards.  5. Study the technology, know the feature well and use your experience 6. Know the point when it is time to report a bug 7. How to troubleshoot the issues. 	 am a Senior Quality Engineer at Red Hat, working for 5 years now. I am responsible for Quality Assurance and testing of Red Hat Directory Server (389). I am a Fedora and Open Source Software enthusiast and contribute to various projects in different ways. I spoke about Fedora QA process at Flock, 2014 in Prague. I regularly write for the Fedora Magazine and blog at http://whatamithinks.wordpress.com/."		
Saturday March 19	5:00 PM																								
Saturday March 19	5:30 PM																								
Saturday March 19	6:00 PM		Social	Event																					
																									
	Venue																								
	Room																								
	Link																								
	Map																								
